Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/batch_04/original/batch04_contract_059.sol,-,"Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_060.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_061.sol,-,"Osiris, Oyente",-,-,-,-,-,-,Slither
contracts/batch_04/original/batch04_contract_062.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Oyente, Slither",-
contracts/batch_04/original/batch04_contract_063.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_064.sol,-,"Osiris, Oyente",Mythril,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_065.sol,"Mythril, Slither","Mythril, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_066.sol,Slither,-,-,-,-,-,Slither,Slither,-
contracts/batch_04/original/batch04_contract_068.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_069.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_070.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_071.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_072.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_073.sol,-,"Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_074.sol,Slither,"Mythril, Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_075.sol,"Mythril, Slither",Osiris,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_076.sol,Slither,"Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_077.sol,-,-,-,-,-,Mythril,-,-,-
contracts/batch_04/original/batch04_contract_078.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_079.sol,Mythril,"Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_080.sol,"Mythril, Slither",Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_081.sol,Mythril,"Mythril, Osiris, Oyente",-,-,-,-,-,Slither,Slither
contracts/batch_04/original/batch04_contract_082.sol,"Mythril, Slither",Osiris,-,Mythril,-,-,-,"Mythril, Oyente",-
contracts/batch_04/original/batch04_contract_083.sol,-,-,-,-,-,-,-,Slither,-
contracts/batch_04/original/batch04_contract_084.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_085.sol,"Mythril, Slither","Mythril, Osiris, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_086.sol,-,"Mythril, Oyente",-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_087.sol,-,Oyente,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_088.sol,Mythril,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_089.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,-,-,-
