Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
,-,-,-,-,-,-,-,-,-
contract_001.sol,"Mythril, Slither","Osiris, Oyente",Mythril,Mythril,-,-,Mythril,-,Slither
contract_002.sol,-,"Osiris, Oyente",-,Mythril,-,-,-,-,-
contract_003.sol,"Osiris, Slither","Mythril, Oyente",-,-,-,-,-,-,-
contract_004.sol,"Mythril, Slither",Oyente,Mythril,Mythril,-,-,Mythril,"Mythril, Slither",Slither
contract_005.sol,Slither,-,-,-,-,-,-,Mythril,-
contract_006.sol,Slither,Oyente,-,Mythril,-,-,-,-,-
contract_007.sol,Slither,"Osiris, Oyente",Mythril,Oyente,-,-,-,Mythril,Mythril
contract_008.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contract_009.sol,"Mythril, Slither",-,-,-,-,-,Mythril,"Mythril, Slither",-
contract_010.sol,"Mythril, Slither","Osiris, Oyente",Mythril,"Mythril, Oyente",-,-,Mythril,"Mythril, Oyente, Slither",-
contract_011.sol,Slither,Mythril,-,"Mythril, Oyente",-,-,-,"Mythril, Slither",-
contract_012.sol,"Mythril, Osiris, Slither",-,-,-,-,-,Mythril,Mythril,-
contract_013.sol,Slither,Osiris,-,Mythril,-,-,-,"Mythril, Slither",-
contract_014.sol,Mythril,"Mythril, Osiris, Oyente",-,"Mythril, Oyente",-,-,Mythril,"Mythril, Oyente, Slither",-
contract_015.sol,"Mythril, Slither",-,-,Oyente,-,-,Mythril,-,-
contract_016.sol,Mythril,Mythril,-,Mythril,-,-,Mythril,Mythril,-
contract_017.sol,Slither,Mythril,Mythril,Mythril,-,-,Mythril,-,-
contract_018.sol,"Mythril, Slither",Mythril,Mythril,"Mythril, Oyente",-,-,Mythril,"Mythril, Slither",-
contract_019.sol,"Mythril, Slither",-,Mythril,Mythril,-,-,Mythril,-,Slither
contract_020.sol,Mythril,-,-,-,-,Mythril,Mythril,-,-
contract_021.sol,-,"Mythril, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contract_022.sol,"Mythril, Slither",-,Mythril,Oyente,-,-,Mythril,-,-
contract_023.sol,Slither,-,Mythril,Mythril,-,-,-,"Mythril, Slither",-
contract_024.sol,Slither,-,Mythril,"Mythril, Oyente",-,-,-,"Mythril, Oyente, Slither",-
contract_025.sol,Slither,Mythril,Mythril,-,-,-,-,Mythril,-
contract_026.sol,Mythril,"Mythril, Oyente",Mythril,Mythril,-,-,Mythril,Mythril,-
contract_027.sol,Mythril,Oyente,-,-,-,-,Mythril,-,-
contract_028.sol,Mythril,Oyente,Mythril,Mythril,-,-,Mythril,-,-
contract_029.sol,Mythril,Mythril,-,Mythril,-,-,Mythril,Mythril,-
contract_030.sol,"Mythril, Slither",Oyente,-,-,-,-,Mythril,-,-
contract_031.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_032.sol,"Mythril, Slither",Mythril,Mythril,"Mythril, Oyente",-,-,Mythril,-,-
contract_033.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contract_034.sol,Slither,"Mythril, Osiris, Oyente",-,-,-,-,-,"Mythril, Slither",Mythril
contract_035.sol,Mythril,"Mythril, Osiris, Oyente",Mythril,Mythril,Osiris,-,Mythril,-,-
contract_036.sol,-,Oyente,-,Mythril,-,-,-,"Mythril, Slither",-
contract_037.sol,Slither,"Osiris, Oyente",-,"Mythril, Oyente",-,-,-,"Mythril, Slither",-
contract_038.sol,"Mythril, Slither",Oyente,-,Oyente,-,-,Mythril,Slither,Slither
contract_039.sol,Slither,-,-,-,-,-,-,-,-
