Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
,-,-,-,-,-,-,-,-,-
batch05_contract_059_obf.sol,-,-,-,-,-,-,-,-,-
batch05_contract_087_obf.sol,-,-,-,-,-,-,-,-,-
batch05_contract_089_obf.sol,-,-,-,-,-,-,-,-,-
batch05_contract_103_obf.sol,-,-,-,-,-,-,-,-,-
batch05_contract_119_obf.sol,-,-,-,-,-,-,-,-,-
batch05_contract_192_obf.sol,-,-,-,-,-,-,-,-,-
contract_001.sol,"Mythril, Slither",-,-,Mythril,-,-,Mythril,-,-
contract_002.sol,-,-,-,"Mythril, Oyente",-,-,-,-,-
contract_003.sol,Slither,"Mythril, Oyente",-,-,-,-,-,-,-
contract_004.sol,Mythril,Oyente,-,-,-,-,Mythril,-,-
contract_005.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Oyente",-
contract_006.sol,-,-,-,Mythril,-,-,-,-,-
contract_007.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contract_008.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contract_009.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contract_010.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contract_011.sol,Slither,"Mythril, Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Oyente, Slither",-
contract_012.sol,Slither,Oyente,-,-,-,-,-,-,Slither
contract_013.sol,-,-,-,-,-,-,-,-,-
contract_014.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_015.sol,Mythril,Oyente,-,-,-,-,Mythril,-,-
contract_016.sol,"Mythril, Slither","Mythril, Osiris",-,Oyente,-,-,Mythril,"Mythril, Oyente",-
contract_017.sol,Slither,"Mythril, Osiris, Oyente",Mythril,Oyente,-,-,Mythril,-,-
contract_018.sol,Osiris,-,-,Oyente,-,-,-,-,Slither
contract_019.sol,"Mythril, Osiris",-,Mythril,"Mythril, Oyente",-,-,Mythril,-,Slither
contract_020.sol,-,Oyente,-,-,-,-,-,Slither,-
contract_021.sol,-,Oyente,-,Oyente,-,-,-,-,-
contract_022.sol,-,Oyente,-,-,-,-,-,-,-
contract_023.sol,Slither,Oyente,-,-,-,-,-,Slither,-
contract_024.sol,-,Oyente,-,-,-,-,-,-,-
contract_025.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contract_026.sol,"Mythril, Slither","Mythril, Osiris, Oyente",-,Oyente,-,-,Mythril,"Mythril, Oyente, Slither",-
contract_027.sol,-,"Osiris, Oyente",-,-,-,-,-,-,-
contract_028.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contract_029.sol,"Mythril, Slither","Mythril, Osiris",-,"Mythril, Oyente",-,-,Mythril,"Mythril, Oyente",-
contract_030.sol,-,Osiris,-,-,-,-,-,-,-
contract_031.sol,-,-,-,-,-,-,-,-,-
contract_032.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_033.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_034.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contract_035.sol,"Mythril, Slither",Oyente,Mythril,Mythril,-,-,Mythril,-,-
