Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/batch_02/original/contract_001.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_002.sol,-,-,Mythril,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_003.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_004.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_005.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_006.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_007.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_008.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_009.sol,Mythril,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_010.sol,Mythril,-,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_011.sol,-,-,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_012.sol,-,-,Mythril,-,-,-,-,-,-
contracts/batch_02/original/contract_013.sol,-,Mythril,-,-,-,-,-,-,-
contracts/batch_02/original/contract_014.sol,Mythril,-,-,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_015.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_016.sol,-,Mythril,-,-,-,-,-,-,-
contracts/batch_02/original/contract_017.sol,-,Mythril,-,-,-,-,-,-,-
contracts/batch_02/original/contract_018.sol,Mythril,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_019.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_020.sol,-,Mythril,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_021.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_022.sol,Mythril,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_023.sol,-,-,Mythril,-,-,-,-,-,-
contracts/batch_02/original/contract_024.sol,Mythril,Mythril,-,-,-,-,-,-,-
contracts/batch_02/original/contract_025.sol,-,-,-,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_027.sol,-,-,-,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_028.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_030.sol,-,Mythril,-,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_031.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_032.sol,Mythril,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_033.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_034.sol,Mythril,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_035.sol,-,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_036.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_037.sol,Mythril,Mythril,-,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_038.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_039.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_040.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_041.sol,-,-,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_042.sol,Mythril,Mythril,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_043.sol,-,-,Mythril,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_044.sol,Mythril,-,Mythril,-,-,-,-,-,-
contracts/batch_02/original/contract_045.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_046.sol,Mythril,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_047.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_048.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_049.sol,Mythril,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_050.sol,Mythril,-,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_051.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_052.sol,-,-,Mythril,-,-,-,-,-,-
contracts/batch_02/original/contract_053.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_054.sol,Mythril,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_055.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_056.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_057.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_058.sol,-,-,-,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_059.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_060.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_061.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_062.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_063.sol,Mythril,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_064.sol,-,-,-,-,-,Mythril,-,-,-
contracts/batch_02/original/contract_065.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_066.sol,-,-,Mythril,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_067.sol,Mythril,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_068.sol,Mythril,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_069.sol,Mythril,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_070.sol,-,-,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_071.sol,-,-,-,-,-,-,-,Mythril,Mythril
contracts/batch_02/original/contract_072.sol,Mythril,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_073.sol,Mythril,-,-,-,-,-,Mythril,-,-
contracts/batch_02/original/contract_074.sol,-,-,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_075.sol,-,Mythril,-,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_076.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_077.sol,Mythril,-,Mythril,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_078.sol,-,-,-,-,-,-,Mythril,-,-
contracts/batch_02/original/contract_079.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_080.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_081.sol,Mythril,Mythril,Mythril,Mythril,-,-,-,-,-
contracts/batch_02/original/contract_082.sol,Mythril,Mythril,Mythril,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_083.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_084.sol,-,-,-,-,-,-,-,-,-
contracts/batch_02/original/contract_085.sol,Mythril,Mythril,-,-,-,-,-,Mythril,-
contracts/batch_02/original/contract_086.sol,Mythril,Mythril,-,Mythril,-,-,-,Mythril,-
contracts/batch_02/original/contract_087.sol,-,-,Mythril,Mythril,-,-,-,-,-
