Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
batch01_contract_001_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_002_obf.sol,"Mythril, Slither",-,-,-,-,-,Mythril,Mythril,-
batch01_contract_003_obf.sol,"Mythril, Slither",-,-,-,-,-,Mythril,-,-
batch01_contract_004_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_005_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_006_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_007_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_008_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_009_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_010_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_011_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_012_obf.sol,"Mythril, Slither",-,Mythril,Mythril,-,-,Mythril,-,-
batch01_contract_013_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_014_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_015_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_016_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_017_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_018_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_019_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_020_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_022_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_023_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_024_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_026_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_027_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_028_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_029_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_030_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_031_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_032_obf.sol,-,-,-,-,-,-,-,-,Slither
batch01_contract_033_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_034_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_035_obf.sol,Slither,-,-,Mythril,-,-,-,"Mythril, Slither",-
batch01_contract_036_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_037_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_038_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_039_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_040_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_041_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_042_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_043_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_044_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_045_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_046_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_047_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_048_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_049_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_050_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_051_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_052_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_053_obf.sol,Slither,-,-,-,-,-,-,-,-
batch01_contract_054_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_055_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_056_obf.sol,Osiris,-,Osiris,Osiris,-,-,Osiris,"Osiris, Slither",-
batch01_contract_057_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_058_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_059_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_060_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_061_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_062_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_063_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_064_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_065_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_066_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_067_obf.sol,-,-,-,-,-,Mythril,-,-,-
batch01_contract_068_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_070_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_071_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_072_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_073_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_074_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_075_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_076_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_077_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_078_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_079_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_080_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_081_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_082_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_083_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_084_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_086_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_087_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_088_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_089_obf.sol,-,-,-,-,-,-,-,-,-
batch01_contract_090_obf.sol,-,-,-,-,-,-,-,-,-
