Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contract_001.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contract_002.sol,"Mythril, Osiris, Slither",Oyente,-,-,-,-,"Mythril, Osiris","Mythril, Osiris",-
contract_003.sol,"Mythril, Osiris, Slither",-,-,-,-,-,"Mythril, Osiris",-,-
contract_004.sol,Slither,-,-,-,-,-,-,Slither,-
contract_005.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_006.sol,-,"Osiris, Oyente",-,-,-,-,-,"Oyente, Slither",-
contract_007.sol,-,-,-,-,-,-,-,-,-
contract_008.sol,"Mythril, Osiris",Oyente,-,-,-,"Mythril, Osiris","Mythril, Osiris",-,Slither
contract_009.sol,"Mythril, Osiris, Slither","Osiris, Oyente",-,-,-,-,"Mythril, Osiris",-,-
contract_010.sol,Slither,"Osiris, Oyente",-,-,-,-,-,Oyente,-
contract_011.sol,Slither,-,-,-,-,-,-,-,-
contract_012.sol,"Mythril, Osiris, Slither",-,"Mythril, Osiris","Mythril, Osiris",-,-,"Mythril, Osiris",-,-
contract_013.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contract_014.sol,-,-,-,-,-,-,-,-,-
contract_015.sol,Slither,"Osiris, Oyente","Mythril, Osiris",-,-,-,-,"Mythril, Osiris, Slither",-
contract_016.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Osiris, Slither",-
contract_017.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_018.sol,"Mythril, Osiris, Slither","Osiris, Oyente",-,"Mythril, Osiris",-,-,"Mythril, Osiris","Mythril, Osiris",-
contract_019.sol,-,-,-,-,-,-,-,-,-
contract_020.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_022.sol,-,"Osiris, Oyente",-,-,Oyente,-,-,"Oyente, Slither",-
contract_023.sol,"Mythril, Osiris, Slither","Osiris, Oyente",-,"Mythril, Osiris",-,-,"Mythril, Osiris","Mythril, Osiris",-
contract_024.sol,"Mythril, Osiris",-,"Mythril, Osiris",-,-,-,"Mythril, Osiris",-,-
contract_025.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_026.sol,Slither,-,-,-,-,-,-,-,-
contract_027.sol,-,Oyente,-,-,-,-,-,-,-
contract_028.sol,"Mythril, Slither","Osiris, Oyente",-,-,-,-,Mythril,-,-
contract_029.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_030.sol,Slither,-,"Mythril, Osiris",-,-,-,-,-,-
contract_031.sol,"Mythril, Slither",Oyente,-,-,-,-,Mythril,-,-
contract_032.sol,-,-,-,-,-,-,-,-,Slither
contract_033.sol,Slither,Oyente,Osiris,Osiris,-,-,-,"Osiris, Slither",-
contract_034.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
contract_035.sol,Slither,"Osiris, Oyente",-,"Mythril, Osiris",-,-,-,"Mythril, Osiris, Oyente, Slither",-
contract_036.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_037.sol,-,Oyente,-,-,-,-,-,"Mythril, Osiris, Oyente, Slither",-
contract_038.sol,Slither,-,"Mythril, Osiris","Mythril, Osiris",-,-,-,-,-
contract_039.sol,Slither,"Osiris, Oyente",-,-,-,-,-,Slither,-
contract_040.sol,Slither,Oyente,-,-,-,-,-,-,-
contract_041.sol,"Mythril, Osiris",-,"Mythril, Osiris","Mythril, Osiris",-,-,"Mythril, Osiris",-,-
contract_042.sol,Slither,"Osiris, Oyente",-,-,-,-,-,Slither,-
contract_043.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Osiris, Slither",-
contract_044.sol,Slither,-,-,-,-,-,-,Slither,-
contract_045.sol,-,"Mythril, Osiris, Oyente",-,-,-,-,-,-,-
contract_046.sol,"Mythril, Osiris, Slither",-,-,-,-,-,"Mythril, Osiris",-,-
contract_047.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Osiris",-
contract_048.sol,-,Oyente,-,-,-,-,-,-,-
contract_049.sol,"Mythril, Slither",-,-,-,-,-,Mythril,"Mythril, Slither",-
